지역명,규모구분,연도,월,분양가격(제곱미터)
충북,전용면적 60제곱미터초과 85제곱미터이하,2015.0,11.0,2015.0
충북,전용면적 85제곱미터초과 102제곱미터이하,2015.0,11.0,1868.0
충북,전용면적 102제곱미터초과,2015.0,11.0,2277.0
충남,모든면적,2015.0,11.0,2100.0
충남,전용면적 60제곱미터이하,2015.0,11.0,2214.0
충남,전용면적 60제곱미터초과 85제곱미터이하,2015.0,11.0,2105.0
충남,전용면적 85제곱미터초과 102제곱미터이하,2015.0,11.0,2523.0
충남,전용면적 102제곱미터초과,2015.0,11.0,2468.0
전북,모든면적,2015.0,11.0,2057.0
전북,전용면적 60제곱미터이하,2015.0,11.0,2129.0
전북,전용면적 60제곱미터초과 85제곱미터이하,2015.0,11.0,2057.0
전북,전용면적 85제곱미터초과 102제곱미터이하,2015.0,11.0,2377.0
전북,전용면적 102제곱미터초과,2015.0,11.0,2282.0
전남,모든면적,2015.0,11.0,1909.0
전남,전용면적 60제곱미터이하,2015.0,11.0,1999.0
전남,전용면적 60제곱미터초과 85제곱미터이하,2015.0,11.0,1906.0
전남,전용면적 85제곱미터초과 102제곱미터이하,2015.0,11.0,2262.0
전남,전용면적 102제곱미터초과,2015.0,11.0,2176.0
경북,모든면적,2015.0,11.0,2190.0
경북,전용면적 60제곱미터이하,2015.0,11.0,2210.0
경북,전용면적 60제곱미터초과 85제곱미터이하,2015.0,11.0,2186.0
경북,전용면적 85제곱미터초과 102제곱미터이하,2015.0,11.0,2516.0
경북,전용면적 102제곱미터초과,2015.0,11.0,2370.0
경남,모든면적,2015.0,11.0,2298.0
경남,전용면적 60제곱미터이하,2015.0,11.0,2200.0
경남,전용면적 60제곱미터초과 85제곱미터이하,2015.0,11.0,2322.0
경남,전용면적 85제곱미터초과 102제곱미터이하,2015.0,11.0,2980.0
경남,전용면적 102제곱미터초과,2015.0,11.0,3043.0
제주,모든면적,2015.0,11.0,2232.0
제주,전용면적 60제곱미터이하,2015.0,11.0,  
제주,전용면적 60제곱미터초과 85제곱미터이하,2015.0,11.0,2225.0
제주,전용면적 85제곱미터초과 102제곱미터이하,2015.0,11.0,2583.0
제주,전용면적 102제곱미터초과,2015.0,11.0,2574.0
서울,모든면적,2015.0,12.0,6041.0
서울,전용면적 60제곱미터이하,2015.0,12.0,6321.0
서울,전용면적 60제곱미터초과 85제곱미터이하,2015.0,12.0,5966.0
서울,전용면적 85제곱미터초과 102제곱미터이하,2015.0,12.0,6513.0
서울,전용면적 102제곱미터초과,2015.0,12.0,6551.0
인천,모든면적,2015.0,12.0,3184.0
인천,전용면적 60제곱미터이하,2015.0,12.0,3328.0
인천,전용면적 60제곱미터초과 85제곱미터이하,2015.0,12.0,3119.0
인천,전용면적 85제곱미터초과 102제곱미터이하,2015.0,12.0,3545.0
인천,전용면적 102제곱미터초과,2015.0,12.0,3408.0
경기,모든면적,2015.0,12.0,3198.0
경기,전용면적 60제곱미터이하,2015.0,12.0,3293.0
경기,전용면적 60제곱미터초과 85제곱미터이하,2015.0,12.0,3314.0
경기,전용면적 85제곱미터초과 102제곱미터이하,2015.0,12.0,3449.0
경기,전용면적 102제곱미터초과,2015.0,12.0,3850.0
부산,모든면적,2015.0,12.0,3127.0
부산,전용면적 60제곱미터이하,2015.0,12.0,2951.0
부산,전용면적 60제곱미터초과 85제곱미터이하,2015.0,12.0,3032.0
부산,전용면적 85제곱미터초과 102제곱미터이하,2015.0,12.0,2957.0
부산,전용면적 102제곱미터초과,2015.0,12.0,3739.0
대구,모든면적,2015.0,12.0,2962.0
대구,전용면적 60제곱미터이하,2015.0,12.0,3282.0
대구,전용면적 60제곱미터초과 85제곱미터이하,2015.0,12.0,2971.0
대구,전용면적 85제곱미터초과 102제곱미터이하,2015.0,12.0,2532.0
대구,전용면적 102제곱미터초과,2015.0,12.0,2743.0
광주,모든면적,2015.0,12.0,2476.0
광주,전용면적 60제곱미터이하,2015.0,12.0,2395.0
광주,전용면적 60제곱미터초과 85제곱미터이하,2015.0,12.0,2489.0
광주,전용면적 85제곱미터초과 102제곱미터이하,2015.0,12.0,  
광주,전용면적 102제곱미터초과,2015.0,12.0,  
대전,모든면적,2015.0,12.0,2454.0
대전,전용면적 60제곱미터이하,2015.0,12.0,2585.0
대전,전용면적 60제곱미터초과 85제곱미터이하,2015.0,12.0,2428.0
대전,전용면적 85제곱미터초과 102제곱미터이하,2015.0,12.0,2461.0
대전,전용면적 102제곱미터초과,2015.0,12.0,  
울산,모든면적,2015.0,12.0,3043.0
울산,전용면적 60제곱미터이하,2015.0,12.0,2584.0
울산,전용면적 60제곱미터초과 85제곱미터이하,2015.0,12.0,3048.0
울산,전용면적 85제곱미터초과 102제곱미터이하,2015.0,12.0,2663.0
울산,전용면적 102제곱미터초과,2015.0,12.0,2874.0
세종,모든면적,2015.0,12.0,2665.0
세종,전용면적 60제곱미터이하,2015.0,12.0,2601.0
세종,전용면적 60제곱미터초과 85제곱미터이하,2015.0,12.0,2676.0
세종,전용면적 85제곱미터초과 102제곱미터이하,2015.0,12.0,2661.0
세종,전용면적 102제곱미터초과,2015.0,12.0,2752.0
강원,모든면적,2015.0,12.0,2171.0
강원,전용면적 60제곱미터이하,2015.0,12.0,2292.0
강원,전용면적 60제곱미터초과 85제곱미터이하,2015.0,12.0,2193.0
강원,전용면적 85제곱미터초과 102제곱미터이하,2015.0,12.0,2061.0
강원,전용면적 102제곱미터초과,2015.0,12.0,2171.0
충북,모든면적,2015.0,12.0,2005.0
충북,전용면적 60제곱미터이하,2015.0,12.0,1941.0
충북,전용면적 60제곱미터초과 85제곱미터이하,2015.0,12.0,2017.0
충북,전용면적 85제곱미터초과 102제곱미터이하,2015.0,12.0,2276.0
충북,전용면적 102제곱미터초과,2015.0,12.0,2261.0
충남,모든면적,2015.0,12.0,2269.0
충남,전용면적 60제곱미터이하,2015.0,12.0,2438.0
충남,전용면적 60제곱미터초과 85제곱미터이하,2015.0,12.0,2279.0
충남,전용면적 85제곱미터초과 102제곱미터이하,2015.0,12.0,2523.0
충남,전용면적 102제곱미터초과,2015.0,12.0,2444.0
전북,모든면적,2015.0,12.0,1983.0
전북,전용면적 60제곱미터이하,2015.0,12.0,1925.0
전북,전용면적 60제곱미터초과 85제곱미터이하,2015.0,12.0,1987.0
전북,전용면적 85제곱미터초과 102제곱미터이하,2015.0,12.0,2377.0
전북,전용면적 102제곱미터초과,2015.0,12.0,2282.0
전남,모든면적,2015.0,12.0,1909.0
전남,전용면적 60제곱미터이하,2015.0,12.0,1999.0
전남,전용면적 60제곱미터초과 85제곱미터이하,2015.0,12.0,1906.0
전남,전용면적 85제곱미터초과 102제곱미터이하,2015.0,12.0,2262.0
전남,전용면적 102제곱미터초과,2015.0,12.0,2176.0
경북,모든면적,2015.0,12.0,2181.0
경북,전용면적 60제곱미터이하,2015.0,12.0,2178.0
경북,전용면적 60제곱미터초과 85제곱미터이하,2015.0,12.0,2184.0
경북,전용면적 85제곱미터초과 102제곱미터이하,2015.0,12.0,2516.0
경북,전용면적 102제곱미터초과,2015.0,12.0,2370.0
경남,모든면적,2015.0,12.0,2307.0
경남,전용면적 60제곱미터이하,2015.0,12.0,2280.0
경남,전용면적 60제곱미터초과 85제곱미터이하,2015.0,12.0,2329.0
경남,전용면적 85제곱미터초과 102제곱미터이하,2015.0,12.0,2934.0
경남,전용면적 102제곱미터초과,2015.0,12.0,3019.0
제주,모든면적,2015.0,12.0,2268.0
제주,전용면적 60제곱미터이하,2015.0,12.0,  
